id,name,hours_of_game,recently_played,genres
291550,Brawlhalla,1,no,Action Free to Play Indie 
389730,TEKKEN 7,37,no,Action Sports 
391540,Undertale,2,yes,Indie RPG 
397540,Borderlands 3,0,no,Action RPG 
236110,Dungeon Defenders II,131,no,Action Free to Play Indie RPG Strategy 
413150,Stardew Valley,114,no,Indie RPG Simulation 
280790,Creativerse,2,no,Action Adventure Casual Free to Play Indie Massively Multiplayer RPG Simulation 
339340,Resident Evil 0,38,no,Action Adventure 
427190,Dead Rising,0,no,Action Adventure 
431960,Wallpaper Engine,2,yes,Casual Indie Animation & Modeling Design & Illustration Photo Editing Utilities 
436500,Diaries of a Spaceport Janitor,0,no,Adventure Casual Indie RPG Simulation 
438100,VRChat,1,no,Adventure Casual Free to Play Massively Multiplayer Simulation Sports Early Access 
444090,Paladins,0,no,Action Free to Play 
596350,Paladins - Public Test,0,no,NA
365590,Tom Clancy's The Division,6,no,Action Adventure RPG 
524440,Tom Clancy's The Division PTS,0,no,NA
475550,Beholder,0,no,Adventure Indie Strategy 
477160,Human: Fall Flat,2,no,Adventure Casual Indie Simulation 
383150,Dead Island Definitive Edition,15,no,Action 
302670,Call to Arms,0,no,Action Indie Simulation Strategy 
489360,CASE: Animatronics,0,no,Action Adventure Indie Simulation 
423950,Deadlight Director’s Cut,0,no,Action Adventure 
403640,Dishonored 2,38,no,Action 
71340,Sonic Generations,0,no,Action 
504130,Manual Samuel - Anniversary Edition,0,no,Adventure Indie 
319630,Life is Strange™,0,no,Action Adventure 
506610,Five Nights at Freddy's: Sister Location,1,no,Action Indie Simulation 
508390,Scrap Garden - The Day Before,0,no,Action Adventure Indie 
415200,Motorsport Manager,0,no,Racing Simulation Sports Strategy 
513560,Hunger Dungeon,1,no,Action Adventure Free to Play Indie RPG Strategy 
292030,The Witcher 3: Wild Hunt,171,no,RPG 
525190,The Construct,0,no,Action Adventure Indie 
546390,Brief Karate Foolish,1,no,Action Casual Free to Play Indie 
550470,NosTale,1,no,Action Adventure Free to Play Massively Multiplayer RPG 
550650,Black Squad,7,no,Action Free to Play 
